window_id,source_file,start_index,end_index,start_time,end_time,label
3764,WeldingTest_03_NG_labeled.csv,0,29,2022-08-03 09:10:24.996,2022-08-03 09:12:13.879,1
3765,WeldingTest_03_NG_labeled.csv,1,30,2022-08-03 09:10:28.312,2022-08-03 09:12:18.243,1
3766,WeldingTest_03_NG_labeled.csv,2,31,2022-08-03 09:10:31.076,2022-08-03 09:12:19.749,1
3767,WeldingTest_03_NG_labeled.csv,3,32,2022-08-03 09:10:34.284,2022-08-03 09:12:22.841,1
3768,WeldingTest_03_NG_labeled.csv,4,33,2022-08-03 09:10:37.046,2022-08-03 09:12:24.571,1
3769,WeldingTest_03_NG_labeled.csv,5,34,2022-08-03 09:10:40.298,2022-08-03 09:12:28.041,1
3770,WeldingTest_03_NG_labeled.csv,6,35,2022-08-03 09:10:46.156,2022-08-03 09:12:29.755,1
3771,WeldingTest_03_NG_labeled.csv,7,36,2022-08-03 09:10:49.412,2022-08-03 09:12:31.445,1
3772,WeldingTest_03_NG_labeled.csv,8,37,2022-08-03 09:10:52.188,2022-08-03 09:12:34.485,1
3773,WeldingTest_03_NG_labeled.csv,9,38,2022-08-03 09:10:55.440,2022-08-03 09:12:35.935,1
3774,WeldingTest_03_NG_labeled.csv,10,39,2022-08-03 09:10:58.250,2022-08-03 09:13:23.573,1
3775,WeldingTest_03_NG_labeled.csv,11,40,2022-08-03 09:11:01.536,2022-08-03 09:13:26.787,1
3776,WeldingTest_03_NG_labeled.csv,12,41,2022-08-03 09:11:05.934,2022-08-03 09:13:29.591,1
3777,WeldingTest_03_NG_labeled.csv,13,42,2022-08-03 09:11:07.698,2022-08-03 09:13:32.799,1
3787,WeldingTest_03_NG_labeled.csv,23,52,2022-08-03 09:11:52.639,2022-08-03 09:14:06.191,1
3788,WeldingTest_03_NG_labeled.csv,24,53,2022-08-03 09:11:59.075,2022-08-03 09:14:09.111,1
3789,WeldingTest_03_NG_labeled.csv,25,54,2022-08-03 09:12:01.699,2022-08-03 09:14:12.525,1
3790,WeldingTest_03_NG_labeled.csv,26,55,2022-08-03 09:12:05.119,2022-08-03 09:14:14.303,1
3791,WeldingTest_03_NG_labeled.csv,27,56,2022-08-03 09:12:07.779,2022-08-03 09:14:16.065,1
3792,WeldingTest_03_NG_labeled.csv,28,57,2022-08-03 09:12:11.249,2022-08-03 09:14:36.471,1
3793,WeldingTest_03_NG_labeled.csv,29,58,2022-08-03 09:12:13.879,2022-08-03 09:14:39.095,1
3794,WeldingTest_03_NG_labeled.csv,30,59,2022-08-03 09:12:18.243,2022-08-03 09:14:42.519,1
3795,WeldingTest_03_NG_labeled.csv,31,60,2022-08-03 09:12:19.749,2022-08-03 09:14:45.179,1
3796,WeldingTest_03_NG_labeled.csv,32,61,2022-08-03 09:12:22.841,2022-08-03 09:14:48.647,1
3797,WeldingTest_03_NG_labeled.csv,33,62,2022-08-03 09:12:24.571,2022-08-03 09:14:51.295,1
3798,WeldingTest_03_NG_labeled.csv,34,63,2022-08-03 09:12:28.041,2022-08-03 09:14:57.735,1
3799,WeldingTest_03_NG_labeled.csv,35,64,2022-08-03 09:12:29.755,2022-08-03 09:15:00.423,1
3800,WeldingTest_03_NG_labeled.csv,36,65,2022-08-03 09:12:31.445,2022-08-03 09:15:03.921,1
3801,WeldingTest_03_NG_labeled.csv,37,66,2022-08-03 09:12:34.485,2022-08-03 09:15:06.661,1
3802,WeldingTest_03_NG_labeled.csv,38,67,2022-08-03 09:12:35.935,2022-08-03 09:15:10.167,1
3803,WeldingTest_03_NG_labeled.csv,39,68,2022-08-03 09:13:23.573,2022-08-03 09:15:12.847,1
3804,WeldingTest_03_NG_labeled.csv,40,69,2022-08-03 09:13:26.787,2022-08-03 09:15:17.255,1
3805,WeldingTest_03_NG_labeled.csv,41,70,2022-08-03 09:13:29.591,2022-08-03 09:15:18.757,1
3806,WeldingTest_03_NG_labeled.csv,42,71,2022-08-03 09:13:32.799,2022-08-03 09:15:21.851,1
3807,WeldingTest_03_NG_labeled.csv,43,72,2022-08-03 09:13:35.679,2022-08-03 09:15:23.579,1
3808,WeldingTest_03_NG_labeled.csv,44,73,2022-08-03 09:13:38.899,2022-08-03 09:15:27.013,1
3809,WeldingTest_03_NG_labeled.csv,45,74,2022-08-03 09:13:44.641,2022-08-03 09:15:28.751,1
3810,WeldingTest_03_NG_labeled.csv,46,75,2022-08-03 09:13:47.873,2022-08-03 09:15:30.469,1
3811,WeldingTest_03_NG_labeled.csv,47,76,2022-08-03 09:13:50.637,2022-08-03 09:15:33.471,1
3812,WeldingTest_03_NG_labeled.csv,48,77,2022-08-03 09:13:53.921,2022-08-03 09:15:34.947,1
3813,WeldingTest_03_NG_labeled.csv,49,78,2022-08-03 09:13:56.729,2022-08-03 09:20:12.830,1
3814,WeldingTest_03_NG_labeled.csv,50,79,2022-08-03 09:14:00.021,2022-08-03 09:20:16.134,1
3815,WeldingTest_03_NG_labeled.csv,51,80,2022-08-03 09:14:04.477,2022-08-03 09:20:18.964,1
3816,WeldingTest_03_NG_labeled.csv,52,81,2022-08-03 09:14:06.191,2022-08-03 09:20:22.210,1
3826,WeldingTest_03_NG_labeled.csv,62,91,2022-08-03 09:14:51.295,2022-08-03 09:20:55.772,1
3827,WeldingTest_03_NG_labeled.csv,63,92,2022-08-03 09:14:57.735,2022-08-03 09:20:58.702,1
3828,WeldingTest_03_NG_labeled.csv,64,93,2022-08-03 09:15:00.423,2022-08-03 09:21:02.102,1
3829,WeldingTest_03_NG_labeled.csv,65,94,2022-08-03 09:15:03.921,2022-08-03 09:21:03.902,1
3830,WeldingTest_03_NG_labeled.csv,66,95,2022-08-03 09:15:06.661,2022-08-03 09:21:05.698,1
3831,WeldingTest_03_NG_labeled.csv,67,96,2022-08-03 09:15:10.167,2022-08-03 09:21:26.762,1
3832,WeldingTest_03_NG_labeled.csv,68,97,2022-08-03 09:15:12.847,2022-08-03 09:21:29.482,1
3833,WeldingTest_03_NG_labeled.csv,69,98,2022-08-03 09:15:17.255,2022-08-03 09:21:32.904,1
3834,WeldingTest_03_NG_labeled.csv,70,99,2022-08-03 09:15:18.757,2022-08-03 09:21:35.590,1
3835,WeldingTest_03_NG_labeled.csv,71,100,2022-08-03 09:15:21.851,2022-08-03 09:21:38.996,1
3836,WeldingTest_03_NG_labeled.csv,72,101,2022-08-03 09:15:23.579,2022-08-03 09:21:41.622,1
3837,WeldingTest_03_NG_labeled.csv,73,102,2022-08-03 09:15:27.013,2022-08-03 09:21:48.086,1
3838,WeldingTest_03_NG_labeled.csv,74,103,2022-08-03 09:15:28.751,2022-08-03 09:21:50.690,1
3839,WeldingTest_03_NG_labeled.csv,75,104,2022-08-03 09:15:30.469,2022-08-03 09:21:54.120,1
3840,WeldingTest_03_NG_labeled.csv,76,105,2022-08-03 09:15:33.471,2022-08-03 09:21:56.768,1
3841,WeldingTest_03_NG_labeled.csv,77,106,2022-08-03 09:15:34.947,2022-08-03 09:22:00.268,1
3842,WeldingTest_03_NG_labeled.csv,78,107,2022-08-03 09:20:12.830,2022-08-03 09:22:02.848,1
3843,WeldingTest_03_NG_labeled.csv,79,108,2022-08-03 09:20:16.134,2022-08-03 09:22:07.328,1
3844,WeldingTest_03_NG_labeled.csv,80,109,2022-08-03 09:20:18.964,2022-08-03 09:22:08.844,1
3845,WeldingTest_03_NG_labeled.csv,81,110,2022-08-03 09:20:22.210,2022-08-03 09:22:11.910,1
3846,WeldingTest_03_NG_labeled.csv,82,111,2022-08-03 09:20:25.040,2022-08-03 09:22:13.708,1
3847,WeldingTest_03_NG_labeled.csv,83,112,2022-08-03 09:20:28.278,2022-08-03 09:22:17.272,1
3848,WeldingTest_03_NG_labeled.csv,84,113,2022-08-03 09:20:34.010,2022-08-03 09:22:18.930,1
3849,WeldingTest_03_NG_labeled.csv,85,114,2022-08-03 09:20:37.294,2022-08-03 09:22:20.636,1
3850,WeldingTest_03_NG_labeled.csv,86,115,2022-08-03 09:20:40.142,2022-08-03 09:22:23.658,1
3851,WeldingTest_03_NG_labeled.csv,87,116,2022-08-03 09:20:43.408,2022-08-03 09:22:25.176,1
3852,WeldingTest_03_NG_labeled.csv,88,117,2022-08-03 09:20:46.262,2022-08-03 09:32:13.603,1
3853,WeldingTest_03_NG_labeled.csv,89,118,2022-08-03 09:20:49.502,2022-08-03 09:32:16.917,1
3854,WeldingTest_03_NG_labeled.csv,90,119,2022-08-03 09:20:54.004,2022-08-03 09:32:19.777,1
3855,WeldingTest_03_NG_labeled.csv,91,120,2022-08-03 09:20:55.772,2022-08-03 09:32:22.983,1
3865,WeldingTest_03_NG_labeled.csv,101,130,2022-08-03 09:21:41.622,2022-08-03 09:32:56.460,1
3866,WeldingTest_03_NG_labeled.csv,102,131,2022-08-03 09:21:48.086,2022-08-03 09:32:59.402,1
3867,WeldingTest_03_NG_labeled.csv,103,132,2022-08-03 09:21:50.690,2022-08-03 09:33:02.812,1
